Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CM_Close,KSP2_CM_12MF_EPS,KSP2_CM_12MF_PE,KSP2_CM_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow,KSP2_IN_Close,KSP2_IN_12MF_EPS,KSP2_IN_12MF_PE,KSP2_IN_Fund_Flow,KSP2_HE_Close,KSP2_HE_12MF_EPS,KSP2_HE_12MF_PE,KSP2_HE_Fund_Flow
2012-01-13,245.28,"7,420.00",8.64,100.22,,,,,623.14,"4,381.00",10.21,101.05,549.79,"6,612.00",9.96,100.92,996.40,"14,591.00",7.92,99.59,"1,256.19","13,534.00",7.66,99.27,"1,217.36","13,581.00",9.82,100.27,656.27,"3,021.00",7.03,100.61,816.21,"4,340.00",11.64,100.36,"2,090.39","15,575.00",7.64,100.22,,,,,,,,
2012-01-20,256.61,"7,350.00",9.12,100.35,,,,,651.73,"4,379.00",10.67,101.18,600.19,"6,540.00",10.99,101.18,"1,052.66","13,797.00",8.85,99.74,"1,341.18","13,282.00",8.36,99.45,"1,261.73","13,574.00",10.28,100.46,710.50,"2,964.00",7.70,100.74,814.78,"4,306.00",11.71,100.34,"2,118.75","15,659.00",7.71,100.25,,,,,,,,
2012-01-27,258.65,"7,335.00",9.20,100.38,,,,,658.53,"4,411.00",10.67,101.22,586.61,"6,207.00",11.17,101.18,"1,072.06","13,869.00",8.98,99.79,"1,360.79","13,299.00",8.47,99.59,"1,277.71","13,577.00",10.44,100.51,728.27,"2,962.00",7.90,100.87,823.71,"4,341.00",11.70,100.33,"2,086.19","15,586.00",7.63,100.11,,,,,,,,
2012-02-03,258.53,"7,321.00",9.23,100.35,,,,,691.08,"4,398.00",11.30,101.30,602.31,"5,948.00",11.66,100.98,"1,094.48","13,888.00",9.02,99.79,"1,433.88","13,404.00",8.84,99.73,"1,283.16","13,672.00",10.12,100.43,746.33,"2,939.00",8.18,100.93,813.70,"4,331.00",11.59,100.28,"2,030.51","15,466.00",7.47,100.00,,,,,,,,
2012-02-10,261.17,"7,279.00",9.34,100.32,,,,,710.34,"4,380.00",11.74,101.34,652.66,"5,992.00",12.54,101.06,"1,117.48","14,113.00",9.29,99.80,"1,481.40","13,512.00",9.04,99.66,"1,286.85","13,557.00",10.20,100.41,741.73,"2,947.00",8.12,100.89,793.89,"4,281.00",11.45,100.18,"2,052.35","14,472.00",7.51,99.96,,,,,,,,
2012-02-17,265.82,"7,198.00",9.56,100.35,,,,,698.94,"4,211.00",11.96,101.23,642.99,"5,934.00",12.51,101.05,"1,088.00","13,968.00",9.13,99.78,"1,443.26","13,428.00",8.85,99.68,"1,337.58","13,245.00",10.94,100.44,740.28,"2,938.00",8.13,100.91,800.22,"4,155.00",11.88,100.19,"2,090.25","14,430.00",7.68,100.09,,,,,,,,
2012-02-24,265.20,"7,186.00",9.58,100.36,,,,,698.28,"4,214.00",11.93,101.33,630.52,"5,908.00",12.35,101.03,"1,115.42","13,968.00",9.35,99.81,"1,432.96","13,405.00",8.79,99.63,"1,329.11","13,230.00",11.04,100.45,733.50,"2,929.00",8.08,100.95,816.63,"4,145.00",12.20,100.21,"2,067.77","14,401.00",7.62,100.07,,,,,,,,
2012-03-02,267.45,"7,260.00",9.56,100.39,,,,,714.17,"4,253.00",12.02,101.41,676.33,"5,998.00",13.03,101.18,"1,119.78","14,120.00",9.33,99.82,"1,421.73","13,425.00",8.71,99.64,"1,349.74","13,474.00",10.92,100.45,731.18,"2,934.00",8.07,100.92,811.45,"4,227.00",11.87,100.21,"2,083.85","14,522.00",7.61,100.16,,,,,,,,
2012-03-09,265.62,"7,314.00",9.43,100.40,,,,,718.98,"4,252.00",12.13,101.51,672.75,"6,274.00",12.45,101.21,"1,081.19","14,091.00",8.90,99.74,"1,359.73","13,421.00",8.33,99.61,"1,366.63","13,734.00",11.00,100.50,726.83,"2,943.00",8.01,100.92,796.40,"4,260.00",11.58,100.18,"2,044.94","14,466.00",7.50,100.15,,,,,,,,
2012-03-16,268.27,"7,345.00",9.47,100.37,,,,,708.89,"4,244.00",11.78,101.49,666.61,"6,278.00",12.34,101.16,"1,061.65","13,839.00",8.90,99.50,"1,331.57","13,270.00",8.23,99.64,"1,376.05","14,081.00",10.77,100.49,763.90,"2,955.00",8.39,100.96,815.03,"4,271.00",11.79,100.18,"2,090.66","14,435.00",7.69,100.11,,,,,,,,
