Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow
2012-02-19,265.82,7198,9.56,100.35,698.94,4211,11.96,101.23,642.99,5934,12.51,101.05,1088,13968,9.13,99.78,1443.26,13428,8.85,99.68,1337.58,13245,10.94,100.44,740.28,2938,8.13,100.91,800.22,4155,11.88,100.19,2090.25,14430,7.68,100.09
2012-02-26,265.2,7186,9.58,100.36,698.28,4214,11.93,101.33,630.52,5908,12.35,101.03,1115.42,13968,9.35,99.81,1432.96,13405,8.79,99.63,1329.11,13230,11.04,100.45,733.5,2929,8.08,100.95,816.63,4145,12.2,100.21,2067.77,14401,7.62,100.07
2012-03-04,267.45,7260,9.56,100.39,714.17,4253,12.02,101.41,676.33,5998,13.03,101.18,1119.78,14120,9.33,99.82,1421.73,13425,8.71,99.64,1349.74,13474,10.92,100.45,731.18,2934,8.07,100.92,811.45,4227,11.87,100.21,2083.85,14522,7.61,100.16
2012-03-11,265.62,7314,9.43,100.4,718.98,4252,12.13,101.51,672.75,6274,12.45,101.21,1081.19,14091,8.9,99.74,1359.73,13421,8.33,99.61,1366.63,13734,11,100.5,726.83,2943,8.01,100.92,796.4,4260,11.58,100.18,2044.94,14466,7.5,100.15
2012-03-18,268.27,7345,9.47,100.37,708.89,4244,11.78,101.49,666.61,6278,12.34,101.16,1061.65,13839,8.9,99.5,1331.57,13270,8.23,99.64,1376.05,14081,10.77,100.49,763.9,2955,8.39,100.96,815.03,4271,11.79,100.18,2090.66,14435,7.69,100.11
2012-03-25,267.95,7361,9.46,100.36,707.81,4244,11.76,101.46,654.94,6271,12.16,101.15,1030.17,13714,8.73,99.46,1312.59,13085,8.23,99.64,1385.11,14162,10.82,100.48,766.19,2952,8.42,100.95,815.56,4364,11.79,100.19,2078.9,14417,7.65,100.1
2012-04-01,266.58,7369,9.4,100.36,686.89,4241,11.4,101.42,624.96,6199,11.93,101.02,1027.16,13097,9.06,99.47,1295.15,13102,8.13,99.77,1365.44,14386,10.62,100.46,744.81,2986,8.11,100.91,826.94,4355,11.99,100.2,2115.35,14325,7.84,100.1
2012-04-08,269.97,7460,9.38,100.34,661.4,4298,10.83,101.38,613.68,6262,11.58,100.96,1018.39,13173,8.92,99.48,1250.66,13271,7.74,99.77,1387.63,14704,10.69,100.44,738.12,3006,7.94,100.89,809.61,4385,11.66,100.18,2271.46,14450,8.37,100.1
2012-04-15,266.86,7468,9.25,100.39,658.23,4267,10.82,101.45,615.73,6238,11.62,101.02,1045.94,13219,9.21,99.59,1291.89,13007,8.16,99.85,1353.28,15228,10,100.53,737.61,3015,7.89,100.9,804.5,4212,11.81,100.14,2222.31,14442,8.19,100.11
2012-04-22,261.84,7433,9.12,100.35,637.96,4245,10.54,101.41,614.69,6152,11.8,101.01,1017.09,13250,8.96,99.55,1198.1,12596,7.79,99.55,1338.48,15357,9.91,100.51,712.23,3025,7.64,100.88,804.08,4133,12.09,100.16,2180.68,14366,8.09,100.1
